t,id,drive,speed.kmh,occ_nr,x,y,yaw,steer,off,speed,leftTLC,rightTLC,report,OT.or.duration,OTTLC,true.TLC,FADE1.leftTLC,FADE1.rightTLC,FADE1.off,FADE1.TLC.min,FADE0.TLC.min,steer.ampl,steer.min,steer.max,steer.avg,steer.sd,offset.min,offset.max,offset.avg,offset.sd,steer.ampl.360,filter_$,lane.cross,lane.cross.copy,id2,total.search.time,fade1.tlc.min.abs,fade1.off.abs,OT.mean,drive.copy,drive.0
13.68866,P01,9,100,1,9410.825195,4762.424805,-58.0867,-.002848,.504096,27.6027,8,10.7,"{""type"":""M"",""msg"":""FADE0"",""time"":13.5923,""dist"":0.222681}",.304864,8.304864,0,13.5,6.6,.591583,6.6,8,.005371,-.008219,-.002848,-.00654075,.00254181777146461,.504096,.591583,.54801925,.0378201161057181,1.93356,1, ,0,P01,72.39933332,6.6, ,1.87783157894737,9,9
17.857796,P01,9,100,2,9470.943359,4663.665039,-59.977654,-.009074,1.601072,27.7773,-.608631,3,"{""type"":""M"",""msg"":""FADE0"",""time"":17.7934,""dist"":0.339178}",3.761631,3.153,3.153,5.6,8,.389893,5.6,-.608631,.009074,-.009074,0,-.00375521052631579,.0028205762604417,.290281,1.601072,.651886657894737,.407594527015034,3.26664,1,1,1,P01,72.39933332,5.6,.389893,1.87783157894737,9,9
28.509319,P01,9,100,7,9589.570313,4392.875,-69.060799,-.000163,.459222,27.778,1.9,4.6,"{""type"":""M"",""msg"":""FADE0"",""time"":28.4441,""dist"":0.635119}",2.625274,4.525274,0,10.2,12.4,.784493,10.2,1.9,.011729,-.000692,.011037,.00479685185185185,.00350489557293908,.089468,.784493,.284241592592593,.191362221221001,4.22244,1, ,0,P01,72.39933332,10.2, ,1.87783157894737,9,9
32.357937,P01,9,100,8,9622.989258,4291.334473,-73.707108,-.009766,-.060022,27.7784,5.6,3,"{""type"":""M"",""msg"":""FADE0"",""time"":32.3032,""dist"":0.742348}",3.339951,6.339951,0,7.7,6.2,.752816,6.2,3,.019412,-.020592,-.00118,-.0103046764705882,.00607072202645286,-.060022,.93702,.582668411764706,.320953034745916,6.98832,1, ,0,P01,72.39933332,6.2, ,1.87783157894737,9,9
37.026978,P01,9,100,9,9659.713867,4166.916016,-75.205879,-.011922,1.304996,27.7773,-.609063,7,"{""type"":""M"",""msg"":""FADE0"",""time"":36.9656,""dist"":0.871897}",4.160771,3.551708,3.551708,3.9,5.2,-.315849,3.9,-.609063,.029184,-.01359,.015594,-.00186247619047619,.00864701360893331,-.443187,1.304996,.297838476190476,.625053480617429,10.50624,1,1,1,P01,72.39933332,3.9,.315849,1.87783157894737,9,9
48.709122,P01,9,100,12,9724.949219,3849.071533,-79.643127,-.001343,1.134611,27.7777,0,3.9,"{""type"":""M"",""msg"":""FADE0"",""time"":48.6419,""dist"":1.19634}",4.768387,4.768387,4.768387,8.5,10.8,.709542,8.5,0,.011038,-.001506,.009532,.00222410416666667,.00305425572811908,.058915,1.134611,.36986825,.308237830192546,3.97368,1,1,1,P01,72.39933332,8.5,.709542,1.87783157894737,9,9
57.232395,P01,9,100,16,9753.631836,3614.054199,-83.027817,-.00354,-.717974,27.7778,10,32.4,"{""type"":""M"",""msg"":""FADE0"",""time"":57.1495,""dist"":1.43273}",.304320999999995,10.304321,0,26.3,22.2,-.88346,22.2,10,.001343,-.004191,-.002848,-.0034485,.00057002953139874,-.88346,-.717974,-.80107575,.0715168426054311,.48348,1, ,0,P01,72.39933332,22.2, ,1.87783157894737,9,9
62.719147,P01,9,100,17,9767.337891,3462.241943,-86.512627,-.007243,-.404261,27.7779,5.7,2.6,"{""type"":""M"",""msg"":""FADE0"",""time"":62.6576,""dist"":1.58578}",4.979439,7.579439,0,11.2,8,-.464895,8,2.6,.004557,-.007243,-.002686,-.00497976,.00109018859181074,-.464895,.03556,-.1264414,.146190445334928,1.64052,1, ,0,P01,72.39933332,8, ,1.87783157894737,9,9
68.096817,P01,9,100,18,9777.942383,3313.201416,-85.693024,-.005208,1.335292,27.7778,-.204109,4.5,"{""type"":""M"",""msg"":""FADE0"",""time"":68.0531,""dist"":1.7357}",4.873962,4.669853,4.669853,6.6,8.4,-.599348,6.6,-.204109,.01356,-.005208,.008352,.00224081632653061,.00318018477367714,-.748052,1.335292,-.131171244897959,.65511876039325,4.8816,1,1,1,P01,72.39933332,6.6,.599348,1.87783157894737,9,9
98.907082,P01,9,100,24,9771.459961,2457.42627,-91.548508,-.000326,1.923059,27.7778,-6.694115,-3.553093,"{""type"":""M"",""msg"":""FADE0"",""time"":98.8366,""dist"":2.59106}",9.525139,2.831024,2.831024,2.5,5.1,.268857,2.5,-6.694115,.000326,-.000326,0,-.000310557894736842,6.75576532019801E-05,-1.835895,1.923059,.364814473684211,1.06285795993832,.11736,0,1,1,P01,72.39933332,2.5,.268857,1.87783157894737,9,9
102.455711,P01,9,100,28,9763.798828,2359.160156,-96.133766,-.000488,-.639222,27.777,-10.242744,-7.101722,"{""type"":""M"",""msg"":""FADE0"",""time"":102.424,""dist"":2.69074}",.303473999999994,-9.93927000000001,0,-9.93927,-6.798248,-.119397,-9.93927,-10.242744,.003052,-.00354,-.000488,-.00240075,.00136883974591623,-.639222,-.119397,-.3786485,.22344713235797,1.09872,1, ,0,P01,72.39933332,9.93927, ,1.87783157894737,9,9
104.288857,P01,9,100,30,9758.755859,2308.47583,-94.732941,.011566,.271951,27.7781,6.8,8.3,"{""type"":""M"",""msg"":""FADE0"",""time"":104.212,""dist"":2.7404}",.512153999999995,7.312154,0,7.8,9.3,.937776,7.8,6.8,.000325000000000001,.011241,.011566,.0114575,.000132762570026345,.271951,.937776,.5935575,.24892601436471,.117,1, ,0,P01,72.39933332,7.8, ,1.87783157894737,9,9
