ID,Trial,Break reaction time,Perceived Headway Distance - Max,Perceived Headway Distance - Min,Perceived Headway Distance - Mean,Perceived Headway Distance - Std Dev,Perceived Headway Distance - 15th Percentile
1,BRT1,0.82,25.38,13.59,20.69,3.5,16.31
1,BRT2,1.23,38.07,20.38,31.03,5.18,24.46
1,BRT3,1.33,57.83,17.14,29.99,8.16,23.35
2,BRT1,3.18,63.14,22.7,47.04,9.52,35.8
2,BRT2,3.7,91.06,55.9,72.95,8.34,63.38
2,BRT3,3.26,98.06,41.08,80.8,19.35,53.19
3,BRT1,1.43,37.71,18.09,26.87,5.27,21.79
3,BRT2,1.33,34.45,11.96,26.26,6.54,18.29
3,BRT3,1.13,29.2,15.84,22.08,4.12,16.95
4,BRT1,2.86,81.18,40.92,61.7,10.95,49.86
4,BRT2,3.58,86.5,44.83,67.44,12.08,51.11
4,BRT3,2.87,78.41,44.84,63.48,11.77,48.24
5,BRT1,2.56,100.58,35.95,83.12,12.64,72.24
5,BRT2,3.06,152.06,73.09,119.61,21.89,102.69
5,BRT3,4.61,133.25,73.43,120.19,16.45,93.91
6,BRT1,2.87,60.88,13.97,41.84,13.19,26.34
6,BRT2,4.62,149.57,75.46,133.8,11.97,124.56
6,BRT3,3.18,143.98,107.84,129.48,10.47,116.87
7,BRT1,2.98,56.61,20.82,41.64,10,28.62
7,BRT2,3.59,81.67,48.41,65.16,9.19,54.21
7,BRT3,0.61,74.59,45.63,55.27,8.42,47.3
8,BRT1,1.74,42.2,20.51,26.37,3.39,23.05
8,BRT2,1.64,66.94,22.44,31.95,7.16,24.76
8,BRT3,0.82,73.51,23.16,32.56,10.91,24.59
9,BRT1,1.65,23.67,8.75,18.87,2.36,16.63
9,BRT2,1.43,33.16,14.75,22.27,3.46,18.02
9,BRT3,1.12,22.88,17.18,21.72,1.66,19.63
10,BRT1,1.13,55.13,20.45,33.57,6.42,27.72
10,BRT2,1.74,46.98,18.09,32.44,8.28,22.15
10,BRT3,1.34,34.62,17.89,24.62,4.12,19.59
11,BRT1,2.26,51.45,22.66,40.06,8.15,29.39
11,BRT2,3.18,76.47,40.61,54.84,9.2,44.06
11,BRT3,2.67,76.34,46.55,59.91,5.99,53.41
12,BRT1,1.63,37.9,20.54,27.79,4.64,22.85
12,BRT2,1.97,52.64,28.51,34.89,3.68,31.59
12,BRT3,1.02,41.62,22,30.78,5.02,23.72
13,BRT1,1.03,79.74,21.65,28.9,8.92,24.15
13,BRT2,4.51,138.95,59.6,99.45,29.13,64.49
13,BRT3,2.26,80.92,20.3,37.22,12.75,27.85
14,BRT1,1.24,74.07,17.55,25.9,8.45,21.86
14,BRT2,1.34,28.48,18.66,24.56,2.75,21.27
14,BRT3,1.22,36.26,20.88,26.37,3.6,21.97
15,BRT1,1.43,42.48,17.96,29.71,5.69,22.62
15,BRT2,0.92,63.66,19.41,35.26,7.98,26.3
15,BRT3,2.04,58.15,19.06,27.92,8.74,19.72
16,BRT1,3.08,57.6,18.39,38.53,8.92,26.98
16,BRT2,2.69,76.32,23.79,44.07,10.91,32.09
16,BRT3,1.86,85.95,28.32,41.17,11.55,33.15
17,BRT1,1.02,41.83,10.18,20.67,6.99,14.24
17,BRT2,1.22,39,14.48,27.53,6.33,18.05
17,BRT3,1.53,39.19,22.7,30.31,2.97,26.99
18,BRT1,2.87,56.16,21.72,43.7,8.63,32.75
18,BRT2,3.19,78.24,29.9,58.23,13.6,38.39
18,BRT3,4.61,84.74,37.99,70.98,10.05,59.18
19,BRT1,1.23,47.53,19.89,31.61,5.21,24.33
19,BRT2,1.43,51.23,25.13,40.31,7.87,29.91
19,BRT3,1.14,59.63,25.69,35.14,6.64,28.9
20,BRT1,1.34,27.56,14.46,22.55,2.85,19.81
20,BRT2,1.66,88.41,24.95,41,10.18,31.35
20,BRT3,1.54,75.1,24.08,35.67,10.39,27.36
21,BRT1,3.08,71.44,31.16,57.53,9.66,52.23
21,BRT2,2.77,92.64,64.77,77.29,8.61,67.55
21,BRT3,2.35,72.5,52.34,66.94,4.76,61.51
22,BRT1,2.05,47.35,22.36,35.23,6.23,28.04
22,BRT2,1.34,67.38,29.8,43.75,7.01,36.84
22,BRT3,1.13,64.22,26.35,39.6,8.17,29.35
23,BRT1,2.26,74.22,19.1,41.85,14.21,24.16
23,BRT2,2.15,59.62,22.34,39.63,9.94,27.68
23,BRT3,2.67,56.21,27.58,38.36,6.69,29.42
24,BRT1,1.42,29.35,10.03,17.22,2.49,15.39
24,BRT2,1.12,30.63,11.65,23.07,5.16,15.49
24,BRT3,1.22,36.62,14.73,21.55,4.34,17.75
25,BRT1,1.75,85.51,9.57,20.47,13.03,13.07
25,BRT2,1.74,67.38,18.59,28.1,8.73,22.97
25,BRT3,2.26,83.06,44.17,53.91,8.86,45.69
26,BRT1,0.83,20.59,11.81,15.88,2.01,14.14
26,BRT2,1.35,29.13,12.54,18.1,3.85,14.23
26,BRT3,1.12,26.31,14.88,20.73,3.58,16.58
