ID,Sex,Age,Driving Experience (in years),Self-estimated driving per year (in kilometers),Self-estimated life-time driving (in kilometers)
01,M,36,18,1200,21600
02,F,26,8,500,8000
03,M,24,6,10000,100000
04,M,26,7.75,100,20000
05,F,23,5.5,500,5000
06,F,29,7,6000,50000
07,M,24,6.75,2000,20000
08,M,21,2,5000,10000
09,M,42,22,8000,150000
10,M,25,7.25,200,10000
11,M,57,41,15000,650000
12,M,26,7,4000,50000
13,F,31,13,10000,100000
14,F,32,14.5,22500,250000
15,M,34,16,500,10000
16,F,23,4.5,20000,100000
17,M,36,12,11500,120000
18,M,38,19,5000,100000
19,M,27,10,1000,11000
20,M,56,44,15000,190000
21,M,34,15.75,25000,500000
22,M,34,16,12000,180000
23,M,27,9,2000,20000
24,M,24,6.08,47000,200000
25,F,39,6,8000,30000
26,M,38,15,10000,130000
27,M,40,22.75,20000,455000
28,M,21,2.92,10000,30000
29,F,32,10,1500,15000
30,M,31,13.08,20000,200000
31,F,29,11.83,15000,120000
32,M,42,10,10000,100000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
