ID,Cruise Control User Car @ 50 km/h: Used SVC - Attentive (%),Cruise Control User Car @ 50 km/h: No SVC - Inattentive (%),Cruise Control User Car @ 50 km/h: SVC Exhausted - Inattentive (%),Cruise Control User Car @ 80 km/h: Used SVC - Attentive (%),Cruise Control User Car @ 80 km/h: No SVC - Inattentive (%),Cruise Control User Car @ 80 km/h: SVC Exhausted - Inattentive (%)
01,24.24,6.06,69.7,2.44,36.59,60.97
02,14.08,78.87,7.05,0,100,0
03,6.98,15.12,77.9,0,53.85,46.15
04,6.25,6.25,87.5,1.69,62.71,35.6
05,6.9,6.9,86.2,4.17,0,95.83
06,50,37.5,12.5,0,100,0
07,0,30.77,69.23,0,100,0
08,13.56,1.69,84.75,0,31.67,68.33
09,4.48,13.43,82.09,1.79,75.89,22.32
10,9.8,5.88,84.32,0,3.64,96.36
11,1.03,89.74,9.23,0,100,0
12,0,32.69,67.31,0,77.55,22.45
13,29.89,0,70.11,1.32,17.11,81.57
14,3.95,1.32,94.73,0,40.68,59.32
15,30.34,0,69.66,3.7,19.75,76.55
16,3.03,51.52,45.45,0,94.29,5.71
17,21.05,4.51,74.44,0.8,42.4,56.8
18,18.84,2.9,78.26,1.61,82.26,16.13
19,92.86,0,7.14,5.56,0,94.44
20,0.75,84.21,15.04,0,98.68,1.32
21,6.25,0,93.75,0,20,80
22,6.6,82.08,11.32,0,98.35,1.65
23,12.7,0,87.3,0,17.65,82.35
24,23.02,7.94,69.04,0,93.66,6.34
25,4.35,89.13,6.52,0,100,0
26,20,11.76,68.24,0,69.79,30.21
27,16,0,84,0,25,75
28,0,34.15,65.85,2.56,28.21,69.23
29,11.69,2.6,85.71,0,4.76,95.24
30,4.31,18.97,76.72,0,84.3,15.7
31,12.75,16.67,70.58,0,92.96,7.04
32,16.67,58.33,25,0,100,0
,,,,,,
,,,,,,
,,,,,,
