ID,50 - count,50 - mean duration,50 - lane crossing occlusions,50 - inattentive occlusions,50 - PLC instances,80 - count,80 - mean duration,80 - lane crossing occlusions,80 - inattentive occlusions,80 - PLC instances
01,34,4.12,0,0,0,43,2.62,0,0,0
02,33,3.13,0,0,0,32,3.12,0,0,0
03,83,2.52,0,0,0,81,2.20,0,0,0
04,50,3.73,0,0,0,52,2.97,1,4,4
05,39,4.22,1,1,1,48,3.33,1,1,1
06,53,2.67,0,1,1,45,3.21,2,4,5
07,36,5.71,1,4,4,48,3.74,3,9,9
08,41,2.03,0,0,0,56,0.96,0,2,2
09,45,1.85,0,0,0,49,1.58,0,0,0
10,66,2.86,0,0,0,71,2.34,0,0,0
11,41,3.13,0,0,0,34,3.00,1,1,1
12,99,1.01,0,0,0,160,0.43,0,0,0
13,19,10.47,3,3,3,31,5.74,2,4,4
14,37,4.62,1,3,3,44,3.34,1,6,6
15,27,5.76,1,1,1,24,5.49,2,3,3
16,31,5.90,2,2,2,38,5.38,0,0,0
17,22,5.42,0,0,0,26,4.28,1,2,2
18,33,4.47,0,0,0,46,2.51,0,2,2
19,66,3.12,0,0,0,64,2.62,4,7,8
20,71,2.73,0,0,0,160,1.37,0,0,0
21,69,2.92,0,1,1,69,2.62,1,2,3
22,70,3.03,0,0,0,77,2.54,0,0,0
23,24,6.49,0,0,0,16,7.51,4,4,5
24,63,2.73,0,0,0,51,3.11,0,0,0
25,30,5.58,3,4,4,31,5.38,2,3,3
26,42,3.80,0,1,1,39,3.47,1,2,2
27,51,3.22,1,2,2,81,1.74,1,3,3
28,50,4.67,3,4,5,65,3.28,6,6,6
29,49,2.48,2,2,2,58,1.76,1,5,5
30,43,2.99,0,0,0,45,2.39,1,2,2
31,167,1.25,0,0,0,125,1.47,0,0,0
32,17,8.99,4,4,4,16,7.67,3,4,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
