ID,50 - Left,50 - Right,80 - Left,80 - Right
01,1.3,1.1,1.3,1.1
02,1.4,1.2,1.4,1.1
03,1.3,1.1,1.4,1.1
04,1.3,2.1,1.4,1.3
05,1.6,1.2,1.7,1.3
06,1.5,1.2,1.8,1.2
07,1.3,1.2,1.4,1.2
08,1.2,1.1,1.5,2.1
09,1.2,1.1,1.2,1.1
10,1.2,1.1,1.3,1
11,2.1,1.2,1.5,1.4
12,1.9,1.2,2.1,1.9
13,1.1,1.4,1.3,1.4
14,1.3,1,1.4,1.4
15,1.3,1.1,1.4,1.2
16,1.4,1.1,1.6,2.1
17,1.1,1.2,1.3,1.1
18,1.3,1.1,1.8,1.1
19,1.6,2.1,1.4,2.1
20,1.2,1.1,1.2,1.1
21,1.2,1.1,1.5,2.1
22,1.2,1.1,1.1,1.2
23,1.4,1.4,1.5,1.4
24,1.3,1.1,1.3,1.1
25,1.2,1.1,1.5,1.2
26,1.3,1.1,1.3,1.1
27,1.4,1.1,1.6,1.5
28,1.2,1.1,1.3,1.3
29,1.2,1.2,1.4,1.4
30,1.5,1.1,1.8,1.2
31,1.5,1.3,1.4,1.3
32,1.3,1.2,1.4,1.2
Mean,1.35,1.21,1.45,1.35
Min,1.10,1.00,1.10,1.00
Max,2.10,2.10,2.10,2.10
Median,1.30,1.10,1.40,1.20
SD,0.21,0.25,0.21,0.33
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
